UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
